Lecture_ID,Lecture_Link,Attendance_Type,Password
MLO,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=17087,2,""
MLOL,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=17088,2,""
DAA,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12261,2,""
PS,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12456,2,""
CNP,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12253,2,""
PPL,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12516,2,""
DBML,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12359,2,""
DAAL,,2,""
BFE,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12726,2,""
SL,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=13200,2,""
