Lecture_ID,Lecture_Link,Attendance_Type,Password
OS,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=11846,2,""
DBM,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12522,2,""
DAA,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12261,2,""
PS,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12456,2,""
CNP,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12253,2,""
PPL,,2,""
DAAL,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12574,2,""
DBML,,2,""
BFE,http://op2020.mitsgwalior.in/mod/attendance/view.php?id=12726,2,""
SL,,2,""
